miRNA,index
hsa-miR-4768-5p,i370
hsa-miR-4772-5p,i371
hsa-miR-4773,i372
hsa-miR-4774-5p,i373
hsa-miR-4777-5p,i374
hsa-miR-4778-5p,i375
hsa-miR-4779,i376
hsa-miR-4791,i377
hsa-miR-4795-5p,i378
hsa-miR-4796-3p,i379
hsa-miR-4797-5p,i380
hsa-miR-4804-5p,i381
hsa-miR-483-3p,i382
hsa-miR-454-5p,i383
hsa-miR-484,i384
hsa-miR-485-5p,i385
hsa-miR-486-5p,i386
hsa-miR-486-3p,i387
hsa-miR-487b-3p,i388
hsa-miR-488-3p,i389
hsa-miR-490-3p,i390
hsa-miR-492,i391
hsa-miR-493-3p,i392
hsa-miR-494-3p,i393
hsa-miR-497-5p,i394
hsa-miR-498-5p,i395
hsa-miR-500a-5p,i396
hsa-miR-501-5p,i397
hsa-miR-502-5p,i398
hsa-miR-502-3p,i399
hsa-miR-503-5p,i400
hsa-miR-506-3p,i401
hsa-miR-509-3p,i402
hsa-miR-510-5p,i403
hsa-miR-512-3p,i404
hsa-miR-513a-5p,i405
hsa-miR-513a-3p,i406
hsa-miR-513b-5p,i407
hsa-miR-514a-3p,i408
hsa-miR-515-5p,i409
hsa-miR-516a-5p,i410
hsa-miR-516b-5p,i411
hsa-miR-517a-3p,i412
hsa-miR-518a-5p,i413
hsa-miR-518b,i414
hsa-miR-518c-3p,i415
hsa-miR-518c-5p,i416
hsa-miR-518d-3p,i417
hsa-miR-518d-5p,i418
hsa-miR-518e-3p,i419
hsa-miR-519a-3p,i420
hsa-miR-519c-3p,i421
hsa-miR-519c-5p,i422
hsa-miR-520d-3p,i423
hsa-miR-520e-3p,i424
hsa-miR-520f-3p,i425
hsa-miR-522-3p,i426
hsa-miR-523-3p,i427
hsa-miR-524-3p,i428
hsa-miR-524-5p,i429
hsa-miR-525-5p,i430
hsa-miR-525-3p,i431
hsa-miR-526a-5p,i432
hsa-miR-526b-5p,i433
hsa-miR-532-5p,i434
hsa-miR-542-5p,i435
hsa-miR-542-3p,i436
hsa-miR-544a,i437
hsa-miR-548b-5p,i438
hsa-miR-548c-3p,i439
hsa-miR-548c-5p,i440
hsa-miR-548d-5p,i441
hsa-miR-548f-5p,i442
hsa-miR-550a-3p,i443
hsa-miR-551a,i444
hsa-miR-551b-3p,i445
hsa-miR-552-3p,i446
hsa-miR-553,i447
hsa-miR-556-5p,i448
hsa-miR-557,i449
hsa-miR-558,i450
hsa-miR-559,i451
hsa-miR-568,i452
hsa-miR-574-3p,i453
hsa-miR-574-5p,i454
hsa-miR-575,i455
hsa-miR-581,i456
hsa-miR-582-5p,i457
hsa-miR-584-5p,i458
hsa-miR-590-5p,i459
hsa-miR-592,i460
hsa-miR-593-3p,i461
hsa-miR-595,i462
hsa-miR-596,i463
hsa-miR-598-5p,i464
hsa-miR-601,i465
hsa-miR-603,i466
hsa-miR-607,i467
hsa-miR-608,i468
hsa-miR-611,i469
hsa-miR-612,i470
hsa-miR-613,i471
hsa-miR-617,i472
hsa-miR-620,i473
hsa-miR-621,i474
hsa-miR-622,i475
hsa-miR-623,i476
hsa-miR-625-5p,i477
hsa-miR-625-3p,i478
hsa-miR-627-5p,i479
hsa-miR-628-5p,i480
hsa-miR-629-5p,i481
hsa-miR-629-3p,i482
hsa-miR-630,i483
hsa-miR-631,i484
hsa-miR-632,i485
hsa-miR-633,i486
hsa-miR-634,i487
hsa-miR-636,i488
hsa-miR-638,i489
hsa-miR-641,i490
hsa-miR-642a-5p,i491
hsa-miR-644a,i492
hsa-miR-645,i493
hsa-miR-650,i494
hsa-miR-651-5p,i495
hsa-miR-652-3p,i496
hsa-miR-653-5p,i497
hsa-miR-654-3p,i498
hsa-miR-657,i499
hsa-miR-660-5p,i500
hsa-miR-663a,i501
hsa-miR-664a-3p,i502
hsa-miR-668-3p,i503
hsa-miR-671-5p,i504
hsa-miR-7-5p,i505
hsa-miR-708-5p,i506
hsa-miR-711,i507
hsa-miR-744-3p,i508
hsa-miR-758-3p,i509
hsa-miR-760,i510
hsa-miR-765,i511
hsa-miR-766-3p,i512
hsa-miR-767-3p,i513
hsa-miR-769-5p,i514
hsa-miR-874-3p,i515
hsa-miR-877-5p,i516
hsa-miR-877-3p,i517
hsa-miR-887-5p,i518
hsa-miR-888-5p,i519
hsa-miR-889-5p,i520
hsa-miR-9-5p,i521
hsa-miR-9-3p,i522
hsa-miR-92a-3p,i523
hsa-miR-921,i524
hsa-miR-92a-1-5p,i525
hsa-miR-92a-2-5p,i526
hsa-miR-92b-3p,i527
hsa-miR-93-5p,i528
hsa-miR-936,i529
hsa-miR-939-5p,i530
hsa-miR-940,i531
hsa-miR-95-5p,i532
hsa-miR-96-5p,i533
hsa-miR-98-5p,i534
hsa-miR-99a-5p,i535
hsa-miR-99b-5p,i536
hsa-let-7a-3p,i537
hsa-let-7d-3p,i538
hsa-miR-105-5p,i539
hsa-miR-10b-3p,i540
hsa-miR-1228-3p,i541
hsa-miR-1238-3p,i542
hsa-miR-1255a,i543
hsa-miR-1260b,i544
hsa-miR-1267,i545
hsa-miR-1271-5p,i546
hsa-miR-127-5p,i547
hsa-miR-1283,i548
hsa-miR-138-2-3p,i549
hsa-miR-139-3p,i550
hsa-miR-1539,i551
hsa-miR-15a-3p,i552
hsa-miR-181a-2-3p,i553
hsa-miR-1827,i554
hsa-miR-188-3p,i555
hsa-miR-18b-3p,i556
hsa-miR-1972,i557
hsa-miR-1973,i558
hsa-miR-199b-3p,i559
hsa-miR-208a-3p,i560
hsa-miR-2117,i561
hsa-miR-224-3p,i562
hsa-miR-23b-5p,i563
hsa-miR-296-3p,i564
hsa-miR-29a-5p,i565
hsa-miR-300,i566
hsa-miR-302a-3p,i567
hsa-miR-32-3p,i568
hsa-miR-320b,i569
hsa-miR-323b-5p,i570
hsa-miR-330-5p,i571
hsa-miR-331-5p,i572
hsa-miR-338-3p,i573
hsa-miR-339-3p,i574
hsa-miR-342-5p,i575
hsa-miR-34a-3p,i576
hsa-miR-203b-3p,i577
hsa-miR-369-3p,i578
hsa-miR-374b-3p,i579
hsa-miR-378a-5p,i580
hsa-miR-3907,i581
hsa-miR-3940-3p,i582
hsa-miR-411-5p,i583
hsa-miR-4257,i584
hsa-miR-4327,i585
hsa-miR-433-5p,i586
hsa-miR-448,i587
hsa-miR-450b-5p,i588
hsa-miR-4758-3p,i589
hsa-miR-487a-3p,i590
hsa-miR-489-5p,i591
hsa-miR-490-5p,i592
hsa-miR-491-5p,i593
hsa-miR-499a-5p,i594
hsa-miR-504-5p,i595
hsa-miR-505-3p,i596
hsa-miR-507,i597
hsa-miR-508-3p,i598
hsa-miR-509-5p,i599
hsa-miR-512-5p,i600
hsa-miR-515-3p,i601
hsa-miR-516a-3p,i602
hsa-miR-518a-3p,i603
hsa-miR-518f-3p,i604
hsa-miR-519d-3p,i605
hsa-miR-520a-3p,i606
hsa-miR-520b-3p,i607
hsa-miR-520c-3p,i608
hsa-miR-520h,i609
hsa-miR-521,i610
hsa-miR-532-3p,i611
hsa-miR-539-5p,i612
hsa-miR-543,i613
hsa-miR-545-3p,i614
hsa-miR-548b-3p,i615
hsa-miR-549a-3p,i616
hsa-miR-550a-5p,i617
hsa-miR-555,i618
hsa-miR-561-3p,i619
hsa-miR-564,i620
hsa-miR-570-3p,i621
hsa-miR-572,i622
hsa-miR-573,i623
hsa-miR-576-3p,i624
hsa-miR-576-5p,i625
hsa-miR-579-3p,i626
hsa-miR-582-3p,i627
hsa-miR-583,i628
hsa-miR-586,i629
hsa-miR-589-3p,i630
hsa-miR-590-3p,i631
hsa-miR-597-5p,i632
hsa-miR-614,i633
hsa-miR-615-3p,i634
hsa-miR-616-5p,i635
hsa-miR-647,i636
hsa-miR-654-5p,i637
hsa-miR-655-3p,i638
hsa-miR-658,i639
hsa-miR-659-3p,i640
hsa-miR-661,i641
hsa-miR-662,i642
hsa-miR-675-5p,i643
hsa-miR-718,i644
hsa-miR-770-5p,i645
hsa-miR-875-3p,i646
hsa-miR-885-3p,i647
hsa-miR-885-5p,i648
hsa-miR-891a-5p,i649
hsa-miR-892a,i650
hsa-miR-892b,i651
hsa-miR-935,i652
hsa-miR-938,i653
hsa-miR-99b-3p,i654
